               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.029235,            0.017235,                   0,             0.86823,             0.85326,             0.92047,             0.58727,            0.019768,           0.0070646,                   0,           0.0054212,           0.0054212,           0.0054212
                  39,            0.028272,            0.017269,                   0,             0.85157,              0.8705,             0.91501,             0.57589,            0.019555,           0.0072795,                   0,           0.0052975,           0.0052975,           0.0052975
                  40,            0.029798,            0.018035,                   0,             0.84898,             0.88129,              0.9114,             0.59906,            0.019447,           0.0070391,                   0,           0.0051737,           0.0051737,           0.0051737
                  41,            0.028504,            0.017623,                   0,             0.87144,             0.90647,             0.91502,             0.57306,            0.019808,           0.0069672,                   0,             0.00505,             0.00505,             0.00505
                  42,            0.028137,            0.017533,                   0,             0.85115,             0.86691,             0.89462,             0.56163,            0.019287,            0.007283,                   0,           0.0049263,           0.0049263,           0.0049263
                  43,            0.027184,            0.017227,                   0,             0.84933,             0.87189,             0.91525,             0.58495,            0.020311,           0.0070844,                   0,           0.0048025,           0.0048025,           0.0048025
                  44,             0.02802,            0.017463,                   0,             0.87234,             0.90288,             0.91678,             0.60154,            0.019603,           0.0069954,                   0,           0.0046788,           0.0046788,           0.0046788
                  45,            0.027772,            0.016264,                   0,             0.88303,             0.86895,             0.92378,             0.59011,            0.019377,           0.0072262,                   0,            0.004555,            0.004555,            0.004555
                  46,            0.028511,            0.017345,                   0,             0.89454,             0.85431,             0.92523,             0.61167,            0.020442,           0.0068278,                   0,           0.0044313,           0.0044313,           0.0044313
                  47,            0.026453,            0.017061,                   0,             0.84273,              0.8741,             0.90894,             0.55135,            0.020923,           0.0073275,                   0,           0.0043075,           0.0043075,           0.0043075
                  48,            0.026655,            0.016274,                   0,             0.84486,             0.88148,             0.91536,             0.59189,            0.019744,           0.0071294,                   0,           0.0041837,           0.0041837,           0.0041837
                  49,            0.026309,            0.016037,                   0,             0.86852,             0.85545,             0.91911,             0.60351,            0.020088,           0.0071087,                   0,             0.00406,             0.00406,             0.00406
                  50,            0.025575,            0.015911,                   0,             0.85929,             0.85971,             0.92453,             0.59993,            0.019926,            0.007038,                   0,           0.0039362,           0.0039362,           0.0039362
                  51,            0.026059,            0.016608,                   0,             0.82396,              0.8741,              0.9085,             0.59961,            0.019428,           0.0070031,                   0,           0.0038125,           0.0038125,           0.0038125
                  52,            0.024567,            0.015245,                   0,             0.87009,             0.85971,             0.92656,             0.60386,            0.020173,           0.0069559,                   0,           0.0036888,           0.0036888,           0.0036888
                  53,              0.0272,            0.017496,                   0,             0.81591,             0.89928,             0.92847,             0.61243,            0.019492,           0.0068568,                   0,            0.003565,            0.003565,            0.003565
                  54,            0.024219,            0.014544,                   0,             0.86446,             0.89478,             0.93358,             0.60744,            0.020497,           0.0067456,                   0,           0.0034413,           0.0034413,           0.0034413
                  55,            0.025171,             0.01551,                   0,             0.86016,             0.90288,             0.92685,              0.6098,            0.019215,           0.0068752,                   0,           0.0033175,           0.0033175,           0.0033175
                  56,            0.024898,            0.015955,                   0,             0.89308,             0.87138,             0.92829,             0.60987,            0.019071,           0.0068626,                   0,           0.0031938,           0.0031938,           0.0031938
                  57,            0.025113,            0.016601,                   0,             0.87476,             0.88849,             0.93267,             0.62069,            0.019551,           0.0067811,                   0,             0.00307,             0.00307,             0.00307
                  58,            0.025326,             0.01577,                   0,             0.86328,             0.88577,             0.92588,             0.62243,            0.019488,           0.0069772,                   0,           0.0029462,           0.0029462,           0.0029462
                  59,            0.025178,            0.016036,                   0,             0.86655,             0.86426,             0.92637,             0.61649,             0.01882,           0.0067293,                   0,           0.0028225,           0.0028225,           0.0028225
                  60,            0.024556,            0.015207,                   0,              0.8697,             0.88837,              0.9314,             0.62659,            0.018551,           0.0068114,                   0,           0.0026987,           0.0026987,           0.0026987
                  61,            0.024613,            0.015218,                   0,              0.8897,             0.87046,              0.9094,             0.62293,            0.019104,            0.007051,                   0,            0.002575,            0.002575,            0.002575
